კონსულტანტი/ბარმენი,600 ლარი
კორპორატიული გაყიდვების კონსულტანტი,1400-1700+ ლარი
მოლარე-კონსულტანტი,700 ლარიდან
კონსულტანტი,750 ლარი
პროგრამული კონსულტანტი,900ლ
პროგრამული კონსულტანტი,900ლ
მოლარე-კონსულტანტი,750 ლარი
მოლარე/კონსულტანტი,60 ლარი
გაყიდვების კონსულტანტი,1000 ლარი
გაყიდვების კონსულტანტი,31.9 ლარი
მაღაზიის კონსულტანტი,600-650 ლარი
გაყიდვების კონსულტანტი,1000 ლარიდან + ბონუსი
"მოლარე-კონსულტანტი - დღე, ღამე",70 ლარი
მოლარე-კონსულტანტი,700-850 ლარი
მაღაზიის მენეჯერი,1200 ლარიდან
ადმინისტრატორი,850 -950 ლარი
კონსულტანტი,800 ლარი
კონსულტანტი,2023 წლის 20 ივნისისა
კონსულტანტი,850 ლარი
მოლარე-კონსულტანტი,750 ლარი
კონსულტანტი,1700-2100 ლარი
კონსულტანტი,1000 ლარი
მოლარე-კონსულტანტი,60 ლარი დღეში
მოლარე-კონსულტანტი,700 ლარი + ბონუსები
მოლარე-კონსულტანტი,800 ლარი + ბონუსები
მოლარე-კონსულტანტი,500 ლარი
მოლარე-კონსულტანტი,400-1000 ლარი
მცხობელი-კონსულტანტი,700 ლარი
მოლარე-კონსულტანტი,500₾ + ბონუსი
მოლარე-კონსულტანტი,30.06.2023
კონსულტანტი,600 - 1000 ლარამდე
მცხობელი-კონსულტანტი,700 ლარი
ბარისტა-კონსულტანტი,1000 ლარი
ღამის ცვლის კონსულტანტი,50 ლარი
ადმინისტრატორი,700-770 GEL
ადმინისტრატორი,1000 ₾
სასტუმროს ადმინისტრატორი,800 ლარი
რეცეფციონისტი/ადმინისტრატორი,100 ლარი
დარბაზის ადმინისტრატორი,900 ლარიდან + ბონუსი
ადმინისტრატორი,50 ლარი
ადმინისტრატორი,1100 ლარი (net)
ადმინისტრატორი,850 -950 ლარი
ადმინისტრატორი,25 ლარი
მიღება-განთავსების თანამშრომელი/სასტუმროს ადმინისტრატორი,40 ლარი
ღამის ადმინისტრატორი,40₾
ღამის ადმინისტრატორი,40 ლარი
სხვადასხვა,1. რეცეფშენი (მიმღების ადმინისტრატორი):
ქსელის ადმინისტრატორი/ინჟინერი,2000-დან 3000-ლარამდე
სასტუმროს ადმინისტრატორი,900 ლარი
ღამის ადმინისტრატორი,50 ლარი
მოლარე-ადმინისტრატორი,800 ლარი
მოლარე-ადმინისტრატორი,200-400 ლარამდე
სარელაქსაციო ცენტრის ადმინისტრატორი,200 ლარი
დარბაზის ადმინისტრატორი,900-1000 ლარი
მოლარე-ადმინისტრატორი,800 ლარი
დარბაზის ადმინისტრატორი,950 ლარი
ადმინისტრატორი,700 ლარი
ადმინისტრატორი,800 ლარი
